gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g047265v5,529.275830921251,-1.230050120480159,0.2204469976752072,-5.57979983148801,2.4079553055994212e-8,2.399371054056801e-7,NONE
CHLRE_01g047700v5,265.0166598787726,1.5887362601517347,0.2621864316529488,6.05956704218285,1.3648843115576941e-9,1.6923539234509726e-8,NONE
CHLRE_01g047800v5,521.0003840399157,1.3065574363225747,0.311568997263083,4.193477039756115,2.7471089366969776e-5,1.4464423204045294e-4,NONE
CHLRE_01g047950v5,3168.7477613702918,1.0591627452048926,0.17475414573694134,6.060873352894631,1.3538440413404375e-9,1.681753966205822e-8,NONE
CHLRE_01g048102v5,17.32917447694169,-1.1537836436527182,0.4244367649743237,-2.7183876112205225,0.0065600937987046895,0.018258650942521357,NONE
CHLRE_01g048501v5,66.617598392203,1.2754332290670347,0.25545995215518175,4.992693446886187,5.95430260338548e-7,4.5522672337705125e-6,NONE
CHLRE_01g048650v5,2714.4694097288857,-1.4424093363808945,0.14192052530949756,-10.16350054536027,2.8852722391220103e-24,2.391006256048295e-22,NONE
CHLRE_01g049200v5,162.59260003471775,-2.1084423791281575,0.2813499593977883,-7.494020555898229,6.67952561367936e-14,1.619883189635093e-12,DOWN
CHLRE_01g049450v5,551.1327733433361,1.1626853275520843,0.1736402066544619,6.695945311017676,2.142818558446447e-11,3.6169110386223497e-10,NONE
CHLRE_01g049600v5,1704.120413532211,1.2769436216558474,0.1366559381612894,9.344223447858688,9.256622641282377e-21,5.356174174645182e-19,NONE
CHLRE_01g049826v5,1279.1292734034514,-2.6154473830325173,0.28307246879599807,-9.239497553954612,2.4765742323852898e-20,1.3568500221350769e-18,DOWN
CHLRE_01g049950v5,4639.885984123867,-1.3079572483554731,0.15221897253975533,-8.59260331700026,8.502065942653142e-18,3.4364600357914944e-16,NONE
CHLRE_01g050650v5,346.27755928990194,-1.109068028370969,0.20200796176283511,-5.4902193888429816,4.0143479658895476e-8,3.8310539528636883e-7,NONE
CHLRE_01g050950v5,5472.34152521304,-2.2313377032071706,0.2917351229545463,-7.6485055368352874,2.0332846253205657e-14,5.297140087861209e-13,DOWN
CHLRE_01g051625v5,667.7013173473563,1.1772887946074415,0.147227172553141,7.996409726489207,1.2809961221165915e-15,3.933874683393801e-14,NONE
